,traders.co.jp_url,銘柄名,銘柄ID,前日終値,PER,PBR,時価総額,発行済株数,自己資本比率,200日移動平均,200日移動平均乖離率,13週移動平均,13週移動平均乖離率
35,https://www.traders.co.jp/stocks/41_2928/,ＲＩＺＡＰグループ,2928,144,,3.21,80652000000,556000000,0.1905,146.0,0.01388888888888884,141.0,-0.02083333333333337
36,https://www.traders.co.jp/stocks/61_2982/,ＡＤワークスグループ,2982,165,17.14,0.49,8052000000,49000000,0.3514,151.0,-0.08484848484848484,159.0,-0.036363636363636376
37,https://www.traders.co.jp/stocks/62_3010/,ポラリス・ホールディングス,3010,106,,5.38,12160000000,117000000,0.0151,89.0,-0.160377358490566,104.0,-0.018867924528301883
38,https://www.traders.co.jp/stocks/62_3011/,バナーズ,3011,117,16.07,0.8,2368000000,20000000,0.25429999999999997,118.0,0.008547008547008517,119.0,0.017094017094017033
39,https://www.traders.co.jp/stocks/62_3071/,ストリーム,3071,114,15.93,1.1,3280000000,29000000,0.3688,118.0,0.03508771929824572,113.0,-0.00877192982456143
40,https://www.traders.co.jp/stocks/62_3113/,Ｏａｋ　キャピタル,3113,80,,1.27,6373000000,81000000,0.5478999999999999,76.0,-0.050000000000000044,76.0,-0.050000000000000044
41,https://www.traders.co.jp/stocks/63_3133/,海帆,3133,139,,28.43,4120000000,30000000,,217.0,0.5611510791366907,168.0,0.2086330935251799
42,https://www.traders.co.jp/stocks/63_3185/,夢展望,3185,183,,8.48,2571000000,14000000,0.08349999999999999,225.0,0.2295081967213115,198.0,0.08196721311475419
43,https://www.traders.co.jp/stocks/62_3202/,ダイトウボウ,3202,84,15.79,0.54,2535000000,30000000,0.2193,89.0,0.059523809523809534,85.0,0.011904761904761862
44,https://www.traders.co.jp/stocks/62_3205/,ダイドーリミテッド,3205,173,1.08,1.01,7464000000,38000000,0.2162,148.0,-0.1445086705202312,159.0,-0.08092485549132944
45,https://www.traders.co.jp/stocks/62_3236/,プロパスト,3236,141,3.67,0.67,4921000000,35000000,,142.0,0.007092198581560183,142.0,0.007092198581560183
46,https://www.traders.co.jp/stocks/63_3237/,イントランス,3237,65,336.84,2.51,2376000000,37000000,0.6219,66.0,0.01538461538461533,65.0,0.0
47,https://www.traders.co.jp/stocks/62_3264/,アスコット,3264,200,,1.0,24944000000,130000000,0.348,200.0,0.0,206.0,0.030000000000000027
48,https://www.traders.co.jp/stocks/62_3266/,ファンドクリエーショングループ,3266,81,17.96,1.25,3051000000,38000000,0.7613,81.0,0.0,80.0,-0.012345679012345734
49,https://www.traders.co.jp/stocks/61_3315/,日本コークス工業,3315,84,,0.47,25700000000,302000000,0.44530000000000003,120.0,0.4285714285714286,91.0,0.08333333333333326
50,https://www.traders.co.jp/stocks/62_3323/,レカム,3323,100,32.81,2.11,8676000000,83000000,0.4457,74.0,-0.26,88.0,-0.12
51,https://www.traders.co.jp/stocks/62_3350/,レッド・プラネット・ジャパン,3350,49,,2.12,2688000000,57000000,-0.028999999999999998,51.0,0.04081632653061229,50.0,0.020408163265306145
52,https://www.traders.co.jp/stocks/62_3409/,北日本紡績,3409,108,131.71,1.72,1879000000,17000000,0.5213,125.0,0.15740740740740744,114.0,0.05555555555555558
53,https://www.traders.co.jp/stocks/61_3521/,エコナックホールディングス,3521,90,38.36,1.04,4711000000,53000000,0.7513,90.0,0.0,90.0,0.0
54,https://www.traders.co.jp/stocks/62_3536/,アクサスホールディングス,3536,133,16.43,1.81,3942000000,30000000,0.1152,119.0,-0.10526315789473684,134.0,0.007518796992481258
55,https://www.traders.co.jp/stocks/62_3598/,山喜,3598,135,23.72,0.53,2003000000,15000000,0.3081,136.0,0.007407407407407307,136.0,0.007407407407407307
56,https://www.traders.co.jp/stocks/63_3664/,モブキャストホールディングス,3664,67,,6.81,2526000000,37000000,0.062,70.0,0.04477611940298498,72.0,0.07462686567164178
